song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Physical - Remastered 2021,4gitetlGHZ9LfuJhwUhEhF,61,2021-10-22,day,{'isrc': 'US86A2100406'},https://open.spotify.com/track/4gitetlGHZ9LfuJhwUhEhF,"[{'artist_name': 'Olivia Newton-John', 'artist_id': '4BoRxUdrcgbbq1rxJvvhg9'}]",,,,,,,,,,,,
Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,81,1983-10-14,day,{'isrc': 'USSM18300548'},https://open.spotify.com/track/4y1LsJpmMti1PfRQV9AWWe,"[{'artist_name': 'Cyndi Lauper', 'artist_id': '2BTZIqw0ntH9MvilQ3ewNY'}]",0.71,0.799,6.0,-4.897,1.0,0.0328,0.22,0.000602,0.349,0.725,120.372,238267.0
Sweet Dreams (Are Made of This) - 2005 Remaster,1TfqLAPs4K3s2rJMoCokcS,83,1983-01-04,day,{'isrc': 'GBARL0300589'},https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,"[{'artist_name': 'Eurythmics', 'artist_id': '0NKDgy9j66h3DLnN8qu1bB'}, {'artist_name': 'Annie Lennox', 'artist_id': '5MspMQqdVbdwP6ax3GXqum'}, {'artist_name': 'Dave Stewart', 'artist_id': '7gcCQIlkkfbul5Mt0jBQkg'}]",0.692,0.711,0.0,-7.498,0.0,0.0317,0.227,0.0,0.12,0.875,125.135,216933.0
The Message (feat. Melle Mel & Duke Bootee),5DuTNKFEjJIySAyJH1yNDU,49,1982-10-01,day,{'isrc': 'USRH10404916'},https://open.spotify.com/track/5DuTNKFEjJIySAyJH1yNDU,"[{'artist_name': 'Grandmaster Flash & The Furious Five', 'artist_id': '5hQCwevTf03u1rECrRMeop'}, {'artist_name': 'Grandmaster Melle Mel', 'artist_id': '0AWhixY9hX7LEPyPMjh4O0'}, {'artist_name': 'Duke Bootee', 'artist_id': '4DW1Qbu1D3gD9lQEjHurAk'}]",,,,,,,,,,,,
Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,65,1986-05-15,day,{'isrc': 'USAR19900334'},https://open.spotify.com/track/6qUEOWqOzu1rLPUPQ1ECpx,"[{'artist_name': 'Run–D.M.C.', 'artist_id': '3CQIn7N5CuRDP8wEI7FiDA'}, {'artist_name': 'Aerosmith', 'artist_id': '7Ey4PD4MYsKc5I2dolUwbH'}]",,,,,,,,,,,,
Lady,5Pj5zrq2nbKcAekH1AxbrO,65,1993-01-01,day,{'isrc': 'USCN19100046'},https://open.spotify.com/track/5Pj5zrq2nbKcAekH1AxbrO,"[{'artist_name': 'Kenny Rogers', 'artist_id': '4tw2Lmn9tTPUv7Gy7mVPI4'}]",,,,,,,,,,,,
Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,86,1985-02-25,day,{'isrc': 'GBF088590110'},https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,"[{'artist_name': 'Tears For Fears', 'artist_id': '4bthk9UfsYUYdcFyqxmSUU'}]",0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,251489.0
Always On My Mind,2xYQTU2bbg6WVAmpY1eae4,63,1982-02-01,day,{'isrc': 'USSM18100410'},https://open.spotify.com/track/2xYQTU2bbg6WVAmpY1eae4,"[{'artist_name': 'Willie Nelson', 'artist_id': '5W5bDNCqJ1jbCgTxDD0Cb3'}]",0.518,0.261,2.0,-13.868,1.0,0.0272,0.755,0.00106,0.144,0.2,73.336,212667.0
All Night Long - Single Version,4giIdAr7Plyu5LQzBOR4FP,60,1992-01-01,day,{'isrc': 'USMO18390005'},https://open.spotify.com/track/4giIdAr7Plyu5LQzBOR4FP,"[{'artist_name': 'Lionel Richie', 'artist_id': '3gMaNLQm7D9MornNILzdSl'}]",,,,,,,,,,,,
Careless Whisper,5WDLRQ3VCdVrKw0njWe5E5,75,1998-11-09,day,{'isrc': 'GBBBM8402006'},https://open.spotify.com/track/5WDLRQ3VCdVrKw0njWe5E5,"[{'artist_name': 'George Michael', 'artist_id': '19ra5tSw0tWufvUp8GotLo'}]",,,,,,,,,,,,
Relax,2K22nUTdyr48JDwI5t906t,71,1984-10-20,day,{'isrc': 'GBAHW9900051'},https://open.spotify.com/track/2K22nUTdyr48JDwI5t906t,"[{'artist_name': 'Frankie Goes To Hollywood', 'artist_id': '1mZu3rO7qSD09GdDpePHhY'}]",0.676,0.695,11.0,-13.395,0.0,0.0392,0.326,1.09e-05,0.0462,0.691,114.93,236800.0
Kiss,62LJFaYihsdVrrkgUOJC05,74,1986-03-31,day,{'isrc': 'USWB19903319'},https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}]",0.898,0.271,7.0,-12.238,1.0,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240.0
Down Under,3ZZq9396zv8pcn5GYVhxUi,77,1981-11-09,day,{'isrc': 'USSM18100411'},https://open.spotify.com/track/3ZZq9396zv8pcn5GYVhxUi,"[{'artist_name': 'Men At Work', 'artist_id': '0f3EsoviYnRKTkmayI3cux'}]",,,,,,,,,,,,
Funkytown,3JU7GqkbT5S51rgCbYJ20t,70,2004-05-19,day,{'isrc': 'USPR37902457'},https://open.spotify.com/track/3JU7GqkbT5S51rgCbYJ20t,"[{'artist_name': 'Lipps Inc.', 'artist_id': '0lwRI7lvmlRY5DiA5Xa6wQ'}]",,,,,,,,,,,,
What's Love Got to Do with It - 2015 Remaster,3ErsOxqe2RmXkR65wkygDz,71,1984-05-29,day,{'isrc': 'GBAYE1401507'},https://open.spotify.com/track/3ErsOxqe2RmXkR65wkygDz,"[{'artist_name': 'Tina Turner', 'artist_id': '1zuJe6b1roixEKMOtyrEak'}]",,,,,,,,,,,,
Flashdance...What a Feeling - Radio Edit,3cbV252akVZInSvJk7jAYX,75,1983-11-02,day,{'isrc': 'CAU118300354'},https://open.spotify.com/track/3cbV252akVZInSvJk7jAYX,"[{'artist_name': 'Irene Cara', 'artist_id': '3oZa8Xs6IjlIUGLAhVyK4G'}]",,,,,,,,,,,,
