song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Zombie,7EZC6E7UjZe63f1jRmkWxt,83,1994-10-03,day,{'isrc': 'USIR29400443'},https://open.spotify.com/track/7EZC6E7UjZe63f1jRmkWxt,"[{'artist_name': 'The Cranberries', 'artist_id': '7t0rwkOPGlDPEhaOcVtOt9'}]",,,,,,,,,,,,
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,76,1994-10-28,day,{'isrc': 'USSM19400325'},https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",,,,,,,,,,,,
Streets of Philadelphia - Single Edit,3fbnbn6A5O5RNb08tlUEgd,74,1995-02-27,day,{'isrc': 'USSM19303834'},https://open.spotify.com/track/3fbnbn6A5O5RNb08tlUEgd,"[{'artist_name': 'Bruce Springsteen', 'artist_id': '3eqjTLE0HfPfh78zjh6TqT'}]",,,,,,,,,,,,
The Most Beautiful Girl In the World,0aPaGIX2QIMAH5SMp0VEMe,58,1995-09-26,day,{'isrc': 'USQX91801753'},https://open.spotify.com/track/0aPaGIX2QIMAH5SMp0VEMe,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}]",,,,,,,,,,,,
Waterfalls,6qspW4YKycviDFjHBOaqUY,74,1994-11-15,day,{'isrc': 'USLF29400133'},https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY,"[{'artist_name': 'TLC', 'artist_id': '0TImkz4nPqjegtVSMZnMRq'}]",0.77,0.505,1.0,-7.345,1.0,0.0828,0.311,7.4e-05,0.0777,0.757,171.798,279507.0
Creep,1aWV3uY3SIEZVbmv45oFWS,66,1994-11-15,day,{'isrc': 'USLF29400135'},https://open.spotify.com/track/1aWV3uY3SIEZVbmv45oFWS,"[{'artist_name': 'TLC', 'artist_id': '0TImkz4nPqjegtVSMZnMRq'}]",0.811,0.458,5.0,-9.688,0.0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533.0
Endless Love (with Mariah Carey),7IljDTNkQEyy77CcaRbiAj,63,1994-09-20,day,{'isrc': 'USSM19400684'},https://open.spotify.com/track/7IljDTNkQEyy77CcaRbiAj,"[{'artist_name': 'Luther Vandross', 'artist_id': '19y5MFBH7gohEdGwKM7QsP'}, {'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",0.231,0.477,10.0,-7.748,1.0,0.029,0.747,2.61e-06,0.122,0.235,95.969,259667.0
Without You,0pkIJFV6mviH9dmBYsFwTM,70,1993-08-31,day,{'isrc': 'USSM19303176'},https://open.spotify.com/track/0pkIJFV6mviH9dmBYsFwTM,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",,,,,,,,,,,,
Don't Turn Around,4SYMibQ93bfzOk6uzkF0dO,59,1993-12-24,day,{'isrc': 'SEVJH0803402'},https://open.spotify.com/track/4SYMibQ93bfzOk6uzkF0dO,"[{'artist_name': 'Ace of Base', 'artist_id': '5ksRONqssB7BR161NTtJAm'}]",0.745,0.771,4.0,-8.231,0.0,0.0755,0.00104,0.387,0.0574,0.752,95.623,230187.0
Always,2RChe0r2cMoyOvuKobZy44,76,1994-10-18,day,{'isrc': 'USPR39412221'},https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44,"[{'artist_name': 'Bon Jovi', 'artist_id': '58lV9VcRSjABbAbfWS6skp'}]",0.383,0.659,4.0,-5.558,1.0,0.0312,0.117,0.0,0.0778,0.327,140.795,353027.0
Give Me One Reason,4vDBJeeQCbhP9FaPPMsYkY,71,1995-10-31,day,{'isrc': 'USEE19900169'},https://open.spotify.com/track/4vDBJeeQCbhP9FaPPMsYkY,"[{'artist_name': 'Tracy Chapman', 'artist_id': '7oPgCQqMMXEXrNau5vxYZP'}]",0.608,0.419,11.0,-10.016,1.0,0.0331,0.602,7.58e-06,0.108,0.602,100.22,268333.0
You Are Not Alone,3AoeaZs8dFemFJr3JdzOL0,69,1995-06-16,day,{'isrc': 'USSM19500002'},https://open.spotify.com/track/3AoeaZs8dFemFJr3JdzOL0,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",0.651,0.402,11.0,-9.303,1.0,0.0281,0.639,8.09e-05,0.0764,0.256,119.878,345600.0
Runaway,6ayyzu6smOchwXO1vxwfn6,47,1995-10-10,day,{'isrc': 'USAM19500810'},https://open.spotify.com/track/6ayyzu6smOchwXO1vxwfn6,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",,,,,,,,,,,,
"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",1X3ypzPnyerpZuMqrDFK29,54,1995-11-07,day,{'isrc': 'USAR19500118'},https://open.spotify.com/track/1X3ypzPnyerpZuMqrDFK29,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",,,,,,,,,,,,
